Applicant,Edu_Parent1,Edu_Parent2,Gender,White,Asian,HSGPA,SAT/ACT,College,Admitted,Enrolled,College_GPA
32,3,6,F,1,0,3.37,930,Arts & Letters,No,No,
33,6,6,F,1,0,3.43,1220,Business & Economics,Yes,No,
34,6,6,M,1,0,3.43,1000,Math & Science,No,No,
35,7,6,F,0,1,4.00,1210,Business & Economics,No,No,
36,3,7,M,1,0,3.76,1110,Business & Economics,No,No,
37,2,1,F,0,1,4.09,1210,Arts & Letters,No,No,
38,6,6,F,0,0,4.32,1300,Arts & Letters,Yes,No,
39,4,6,M,1,0,3.00,1220,Math & Science,No,No,
40,6,5,M,0,0,3.55,1400,Math & Science,Yes,No,
41,6,4,F,1,0,4.27,1150,Arts & Letters,Yes,No,
42,6,6,F,1,0,4.33,1440,Math & Science,Yes,No,
43,7,7,M,1,0,4.00,1250,Arts & Letters,Yes,No,
44,4,3,F,1,0,3.15,1190,Math & Science,No,No,
45,7,7,M,1,0,3.29,1250,Arts & Letters,No,No,
46,6,6,F,1,0,3.75,1250,Math & Science,Yes,No,
47,3,6,M,1,0,4.33,1200,Business & Economics,No,Yes,3.433
48,7,6,M,1,0,4.14,1360,Business & Economics,Yes,No,
49,6,6,M,1,0,3.54,1350,Math & Science,No,No,
50,7,7,F,1,0,2.61,980,Business & Economics,No,No,
51,7,6,F,1,0,4.14,1270,Business & Economics,Yes,No,
52,6,6,F,0,1,4.17,1380,Math & Science,Yes,No,
53,6,6,F,0,0,3.80,1210,Math & Science,No,No,
54,6,4,F,0,0,3.69,1190,Arts & Letters,Yes,No,
55,7,7,F,0,0,4.29,1400,Math & Science,Yes,No,
56,6,6,M,1,0,4.15,1510,Business & Economics,Yes,No,
57,4,4,M,0,0,4.18,1350,Arts & Letters,No,No,
58,7,6,M,1,0,3.42,1310,Math & Science,No,No,
59,7,7,M,0,1,4.09,1450,Math & Science,Yes,No,
60,6,7,M,0,0,4.29,1550,Math & Science,Yes,No,
61,6,6,M,1,0,3.78,1200,Math & Science,No,No,
62,7,7,M,1,0,4.27,1530,Business & Economics,No,Yes,3.890
63,7,6,F,1,0,4.00,1340,Math & Science,No,No,
64,4,6,F,0,0,3.60,1110,Business & Economics,No,No,
65,7,7,F,0,0,4.00,1260,Math & Science,No,No,
66,6,7,M,0,0,4.04,1270,Math & Science,Yes,Yes,3.025
67,1,2,M,0,0,3.75,1010,Business & Economics,No,No,
68,7,4,F,1,0,3.59,1170,Arts & Letters,No,No,
69,7,7,F,1,0,4.33,1440,Math & Science,Yes,No,
70,6,6,F,1,0,4.08,1200,Business & Economics,Yes,No,
71,7,7,M,1,0,3.56,1280,Arts & Letters,Yes,Yes,2.564
72,6,6,M,1,0,4.33,1410,Math & Science,Yes,No,
73,7,6,M,1,0,4.15,1390,Math & Science,Yes,Yes,3.825
74,6,6,M,1,0,3.65,1280,Math & Science,No,No,
75,7,7,F,1,0,3.86,1350,Arts & Letters,Yes,No,
76,6,7,M,0,0,3.67,1170,Business & Economics,Yes,No,
77,7,7,M,0,1,3.15,1370,Arts & Letters,No,No,
78,4,4,M,0,0,4.00,1330,Business & Economics,Yes,Yes,3.525
79,6,6,M,1,0,3.20,1400,Arts & Letters,No,No,
80,7,6,M,1,0,4.09,1150,Math & Science,Yes,Yes,3.595
81,6,6,M,1,0,4.18,1480,Business & Economics,No,No,
82,6,6,F,1,0,3.83,1250,Arts & Letters,Yes,No,
83,6,6,F,1,0,4.05,1300,Arts & Letters,Yes,No,
84,7,6,F,1,0,3.67,1170,Arts & Letters,No,No,
85,7,6,M,0,0,3.24,1000,Math & Science,No,No,
86,7,7,M,0,0,3.36,1130,Arts & Letters,Yes,Yes,3.058
87,7,6,M,0,0,0.00,1540,Math & Science,No,No,
88,7,6,M,1,0,3.77,1310,Business & Economics,Yes,No,
89,4,6,F,1,0,4.07,1270,Math & Science,No,No,
90,7,7,M,1,0,4.00,1190,Business & Economics,Yes,No,
91,6,6,M,0,0,4.14,1310,Math & Science,Yes,No,
92,7,7,M,0,1,3.38,1330,Math & Science,No,No,
93,1,1,M,0,0,3.58,1300,Math & Science,Yes,No,
94,7,7,M,1,0,3.50,1230,Math & Science,No,No,
95,7,6,M,0,0,3.75,1240,Business & Economics,Yes,Yes,3.344
96,6,5,M,1,0,2.95,1260,Business & Economics,No,No,
97,7,6,F,1,0,3.95,1250,Business & Economics,Yes,No,
98,6,6,F,1,0,3.71,1190,Math & Science,No,No,
99,5,7,M,1,0,3.82,1240,Math & Science,No,No,
100,6,6,F,0,0,4.23,1340,Math & Science,Yes,No,
101,6,6,F,1,0,4.33,1450,Arts & Letters,Yes,No,
102,7,7,M,0,0,3.62,1240,Math & Science,No,No,
103,6,7,M,1,0,3.82,1270,Math & Science,Yes,Yes,3.106
104,6,7,F,1,0,4.04,1270,Arts & Letters,Yes,No,
105,6,6,M,0,1,2.60,1410,Arts & Letters,No,No,
106,6,6,M,0,1,3.75,1340,Math & Science,Yes,No,
107,4,5,F,0,1,3.86,1230,Arts & Letters,No,No,
108,6,6,F,1,0,3.38,970,Arts & Letters,No,No,
109,3,3,F,0,0,3.60,1040,Arts & Letters,No,No,
110,6,6,M,1,0,4.25,1270,Business & Economics,Yes,No,
111,5,5,M,1,0,2.89,1490,Arts & Letters,No,No,
112,6,6,M,1,0,4.32,1500,Math & Science,Yes,Yes,3.426
113,7,7,M,1,0,4.00,1130,Arts & Letters,No,No,
114,6,6,M,0,1,4.33,1380,Math & Science,Yes,No,
115,7,7,M,0,0,4.20,1230,Arts & Letters,No,Yes,3.116
116,7,7,M,1,0,3.46,1230,Arts & Letters,No,No,
117,7,6,M,1,0,3.92,1320,Math & Science,Yes,Yes,3.396
118,7,7,M,0,0,2.95,1430,Math & Science,No,No,
119,6,6,M,1,0,3.83,1240,Arts & Letters,Yes,Yes,3.926
120,5,4,M,0,0,0.00,880,Business & Economics,No,No,
121,7,7,M,1,0,4.00,1410,Business & Economics,Yes,No,
122,1,2,F,0,0,3.29,880,Arts & Letters,No,No,
123,6,6,F,1,0,3.95,1140,Math & Science,No,No,
124,6,5,M,0,1,2.78,1200,Math & Science,No,No,
125,7,7,M,1,0,3.95,1300,Arts & Letters,No,Yes,3.277
126,6,1,F,0,0,3.05,920,Arts & Letters,No,No,
127,6,6,M,0,1,3.68,1430,Math & Science,No,No,
128,6,5,F,0,0,4.17,1460,Math & Science,Yes,No,
129,7,6,M,1,0,3.14,1150,Business & Economics,No,No,
130,1,1,F,0,0,3.86,850,Arts & Letters,No,No,
131,7,4,M,0,0,3.89,1250,Math & Science,Yes,Yes,3.357
132,6,6,M,1,0,3.60,1130,Math & Science,No,No,
133,7,6,M,1,0,3.45,1410,Math & Science,No,No,
134,6,5,M,1,0,3.26,1100,Business & Economics,No,No,
135,6,6,M,1,0,3.50,1270,Math & Science,No,No,
136,6,7,M,0,0,3.87,1170,Arts & Letters,Yes,Yes,2.733
137,1,1,M,0,0,4.20,980,Business & Economics,Yes,No,
138,5,5,M,1,0,4.17,1250,Math & Science,No,No,
139,7,7,F,1,0,3.70,1220,Arts & Letters,No,No,
140,6,6,M,0,0,2.73,1060,Business & Economics,No,No,
141,7,6,M,1,0,3.82,1440,Math & Science,Yes,Yes,1.847
142,7,7,M,1,0,3.25,1160,Arts & Letters,No,No,
143,7,4,F,0,0,3.88,1180,Business & Economics,No,No,
144,7,7,M,1,0,3.92,1200,Arts & Letters,Yes,No,
145,6,6,M,1,0,3.03,1190,Arts & Letters,No,No,
146,4,4,F,0,0,2.79,940,Arts & Letters,No,No,
147,2,3,M,0,0,3.73,1190,Math & Science,Yes,No,
148,7,7,M,1,0,3.96,1120,Math & Science,Yes,Yes,3.471
149,7,7,M,1,0,4.21,1360,Math & Science,Yes,Yes,3.123
150,6,6,F,0,0,3.36,1240,Arts & Letters,No,No,
151,7,7,M,1,0,0.00,1120,Arts & Letters,No,No,
152,3,4,M,1,0,3.50,1030,Business & Economics,No,No,
153,7,6,F,1,0,3.80,1270,Arts & Letters,No,No,
154,7,7,M,1,0,3.06,1230,Math & Science,No,No,
155,6,4,M,1,0,2.65,1160,Business & Economics,No,No,
156,7,6,F,0,0,2.92,1250,Math & Science,No,No,
157,6,6,F,1,0,2.91,1140,Business & Economics,No,No,
158,6,6,M,1,0,4.25,1350,Business & Economics,Yes,No,
159,6,4,M,1,0,3.70,1130,Business & Economics,No,No,
160,7,7,F,1,0,4.04,1450,Arts & Letters,Yes,No,
161,4,3,F,1,0,3.73,1230,Arts & Letters,No,No,
162,6,6,M,1,0,3.27,1240,Math & Science,No,No,
163,5,6,F,0,1,3.85,1120,Math & Science,Yes,No,
164,7,7,M,1,0,3.95,1430,Business & Economics,Yes,No,
165,7,7,M,0,0,3.90,1280,Math & Science,No,No,
166,7,7,M,1,0,3.59,950,Arts & Letters,Yes,Yes,2.255
167,6,5,F,0,0,3.29,1200,Arts & Letters,No,No,
168,6,6,M,1,0,4.23,1400,Arts & Letters,Yes,No,
169,7,7,F,0,0,2.68,930,Math & Science,No,No,
170,6,7,M,1,0,4.00,1340,Math & Science,No,Yes,3.372
171,6,6,M,1,0,3.40,1000,Business & Economics,Yes,Yes,2.919
172,7,6,M,1,0,4.27,1140,Arts & Letters,Yes,Yes,3.386
173,6,5,F,0,0,3.43,1130,Arts & Letters,No,No,
174,6,6,M,1,0,3.44,1290,Math & Science,No,No,
175,7,7,M,1,0,4.00,1210,Business & Economics,No,Yes,3.079
176,3,7,M,0,0,3.71,1360,Math & Science,Yes,No,
177,7,7,F,1,0,4.11,1300,Arts & Letters,Yes,No,
178,6,6,M,0,1,4.00,1250,Arts & Letters,Yes,Yes,3.296
179,3,3,M,0,0,3.61,1050,Business & Economics,Yes,Yes,2.880
180,6,6,M,1,0,3.25,1140,Arts & Letters,No,No,
181,7,7,M,1,0,4.24,1280,Business & Economics,No,No,
182,3,6,F,0,0,3.45,1150,Math & Science,No,No,
183,7,7,F,1,0,4.04,1320,Math & Science,No,No,
184,7,7,M,1,0,4.08,1280,Math & Science,Yes,No,
185,4,4,M,0,0,2.86,860,Arts & Letters,No,No,
186,7,7,M,1,0,3.50,1060,Business & Economics,No,No,
187,4,6,M,1,0,3.50,1530,Arts & Letters,Yes,No,
188,7,6,M,0,0,3.95,1400,Business & Economics,Yes,No,
189,6,6,M,1,0,3.67,1190,Arts & Letters,Yes,No,
190,6,6,F,0,0,4.09,1190,Arts & Letters,Yes,No,
191,2,1,F,0,0,3.44,960,Business & Economics,Yes,No,
192,7,4,M,0,0,3.95,1240,Business & Economics,No,No,
193,7,7,M,1,0,3.90,1240,Arts & Letters,Yes,No,
194,7,7,F,1,0,4.00,1390,Math & Science,Yes,No,
195,7,6,M,1,0,3.22,1330,Arts & Letters,No,No,
196,5,7,M,1,0,3.30,1130,Arts & Letters,No,No,
197,7,7,F,1,0,4.12,1290,Arts & Letters,Yes,No,
198,7,4,M,1,0,3.14,1010,Business & Economics,No,No,
199,7,7,M,0,0,3.94,1360,Arts & Letters,No,No,
200,4,4,M,0,1,0.00,1000,Math & Science,No,No,
201,6,3,F,0,0,3.00,1050,Math & Science,No,No,
202,6,5,M,0,1,3.23,1250,Math & Science,No,No,
203,5,5,M,1,0,3.64,910,Business & Economics,No,No,
204,4,6,M,0,0,3.05,1230,Math & Science,No,No,
205,7,7,F,0,0,4.23,1150,Math & Science,No,No,
206,7,7,M,1,0,4.27,1550,Math & Science,Yes,No,
207,7,6,M,1,0,4.00,1130,Math & Science,No,No,
208,6,5,M,1,0,3.64,1350,Business & Economics,Yes,No,
209,7,7,M,1,0,3.40,1110,Arts & Letters,No,No,
210,3,3,M,0,0,3.42,720,Arts & Letters,No,No,
211,2,1,M,0,0,2.76,1160,Arts & Letters,No,No,
212,7,6,M,1,0,4.00,1150,Business & Economics,No,No,
213,3,4,M,0,0,3.32,750,Math & Science,No,No,
214,2,2,F,0,0,2.94,520,Arts & Letters,No,No,
215,1,2,F,0,1,3.36,1130,Math & Science,No,No,
216,7,6,M,1,0,3.64,1260,Arts & Letters,No,No,
217,4,3,M,0,0,4.33,1320,Math & Science,Yes,Yes,3.935
218,5,4,F,1,0,3.14,1060,Math & Science,No,No,
219,3,3,M,0,1,3.68,1170,Math & Science,No,No,
220,3,3,F,1,0,4.05,1100,Arts & Letters,No,No,
221,6,7,M,1,0,3.73,1040,Business & Economics,Yes,No,
222,6,6,M,1,0,3.74,1260,Business & Economics,Yes,Yes,2.810
223,3,2,F,1,0,3.14,1000,Arts & Letters,No,No,
224,5,3,M,0,0,4.25,1310,Math & Science,Yes,Yes,2.498
225,3,7,M,0,0,3.58,1300,Arts & Letters,Yes,No,
226,7,6,F,1,0,3.45,1440,Business & Economics,Yes,No,
227,7,6,F,1,0,4.25,1250,Math & Science,No,No,
228,7,4,F,1,0,4.30,1500,Arts & Letters,Yes,No,
229,6,6,F,0,1,3.62,1290,Arts & Letters,No,No,
230,6,6,M,1,0,3.33,990,Business & Economics,No,No,
231,6,4,M,0,0,2.71,1070,Business & Economics,No,No,
232,1,1,F,0,1,3.56,930,Arts & Letters,No,No,
233,7,7,M,1,0,4.04,1140,Business & Economics,Yes,Yes,2.932
234,6,6,F,1,0,3.45,1170,Business & Economics,No,No,
235,6,4,F,1,0,4.00,1320,Math & Science,Yes,No,
236,5,5,M,1,0,3.26,910,Business & Economics,No,No,
237,6,6,F,1,0,3.95,1230,Arts & Letters,Yes,No,
238,7,6,M,1,0,3.80,1210,Arts & Letters,Yes,Yes,3.128
239,4,6,M,1,0,4.20,1140,Business & Economics,Yes,Yes,3.641
240,4,4,M,1,0,3.95,1340,Arts & Letters,Yes,Yes,3.580
241,7,7,M,1,0,4.35,1230,Arts & Letters,No,No,
242,6,6,M,0,0,3.00,1130,Business & Economics,No,No,
243,6,4,F,0,0,4.00,1170,Arts & Letters,Yes,No,
244,6,6,F,0,1,3.67,940,Math & Science,No,No,
245,6,6,M,1,0,3.72,1210,Math & Science,Yes,Yes,2.287
246,6,6,M,1,0,3.43,1250,Arts & Letters,No,No,
247,6,6,F,0,0,4.04,1310,Math & Science,Yes,No,
248,6,6,F,1,0,3.91,1480,Business & Economics,Yes,No,
249,6,6,F,1,0,4.10,1450,Business & Economics,Yes,No,
250,7,4,M,0,0,3.58,1200,Arts & Letters,Yes,Yes,3.080
251,6,7,M,1,0,3.52,1210,Math & Science,No,No,
252,6,6,M,0,1,3.45,1320,Math & Science,Yes,Yes,2.270
253,6,4,M,0,0,3.31,1270,Business & Economics,No,No,
254,7,6,M,1,0,3.55,1380,Business & Economics,No,No,
255,6,4,M,1,0,2.75,1040,Math & Science,No,No,
256,7,7,F,0,0,3.80,1090,Arts & Letters,No,No,
257,2,2,F,0,1,2.86,980,Business & Economics,No,No,
258,7,6,M,1,0,4.17,1360,Business & Economics,Yes,Yes,2.986
259,6,6,F,1,0,3.64,1420,Math & Science,Yes,No,
260,7,7,M,1,0,4.00,1460,Math & Science,Yes,No,
261,6,7,M,1,0,3.70,1150,Arts & Letters,No,Yes,2.947
262,6,6,M,1,0,4.05,1230,Math & Science,Yes,Yes,3.602
263,6,6,M,1,0,4.00,1210,Arts & Letters,Yes,Yes,3.176
264,6,5,M,1,0,3.85,1160,Business & Economics,Yes,No,
265,7,6,M,1,0,4.33,1430,Business & Economics,Yes,Yes,3.472
266,6,6,M,1,0,3.04,1170,Math & Science,No,Yes,2.880
267,6,3,F,1,0,3.42,1540,Math & Science,No,No,
268,5,6,F,0,0,3.79,1090,Arts & Letters,No,No,
269,7,6,M,0,1,3.55,970,Business & Economics,No,No,
270,6,5,F,1,0,2.86,840,Business & Economics,No,No,
271,7,6,M,1,0,4.36,1480,Business & Economics,Yes,No,
272,6,6,F,0,1,4.33,1290,Arts & Letters,No,No,
273,6,7,M,1,0,4.27,1130,Math & Science,No,No,
274,6,7,F,1,0,3.75,1320,Arts & Letters,No,No,
275,6,7,F,0,0,3.14,790,Arts & Letters,No,No,
276,7,6,M,1,0,3.86,1330,Business & Economics,Yes,Yes,3.599
277,3,5,M,0,1,3.77,1170,Business & Economics,Yes,Yes,2.671
278,6,6,F,0,1,4.32,1390,Math & Science,Yes,No,
279,3,6,M,1,0,3.77,950,Business & Economics,Yes,No,
280,5,6,F,1,0,4.13,1100,Math & Science,No,No,
281,7,6,F,1,0,3.91,1250,Math & Science,No,No,
282,6,6,M,1,0,3.88,1310,Business & Economics,Yes,Yes,3.468
283,4,6,M,1,0,3.05,1060,Arts & Letters,No,No,
284,5,4,M,0,0,3.15,1180,Business & Economics,No,No,
285,7,7,M,0,0,3.96,1240,Arts & Letters,Yes,Yes,2.988
286,6,6,M,1,0,4.30,1520,Math & Science,Yes,No,
287,6,6,M,0,1,3.55,1230,Business & Economics,Yes,Yes,2.859
288,7,7,M,0,0,3.32,1230,Business & Economics,Yes,Yes,2.580
289,7,6,M,1,0,3.50,1120,Arts & Letters,No,No,
290,6,6,F,0,0,4.17,1190,Math & Science,Yes,No,
291,7,6,F,1,0,3.91,1350,Business & Economics,Yes,No,
292,4,4,M,0,1,3.50,1270,Business & Economics,Yes,No,
293,3,6,M,0,1,3.75,1370,Arts & Letters,Yes,Yes,3.467
294,6,6,F,0,1,3.74,1220,Arts & Letters,No,No,
295,4,6,M,1,0,4.36,1390,Arts & Letters,Yes,No,
296,7,7,F,1,0,3.80,1090,Business & Economics,No,No,
297,7,6,F,1,0,4.28,1550,Business & Economics,Yes,No,
298,5,6,F,1,0,3.95,1290,Math & Science,No,No,
299,6,6,F,1,0,4.27,1160,Arts & Letters,No,No,
300,7,7,F,1,0,4.14,1090,Math & Science,No,No,
301,6,6,M,0,0,2.50,930,Business & Economics,No,No,
302,7,7,M,1,0,4.25,1300,Business & Economics,No,Yes,3.710
303,6,7,F,0,1,4.40,1340,Arts & Letters,Yes,No,
304,6,6,F,1,0,3.77,1140,Business & Economics,No,No,
305,6,6,F,0,0,4.09,1290,Business & Economics,Yes,No,
306,7,7,M,1,0,4.25,1350,Math & Science,Yes,No,
307,6,7,M,0,1,3.23,1220,Arts & Letters,No,No,
308,6,6,F,0,0,4.13,1200,Arts & Letters,Yes,No,
309,7,6,M,1,0,3.50,1370,Math & Science,No,No,
310,6,6,M,1,0,4.18,1290,Business & Economics,No,Yes,3.039
311,1,1,M,0,0,3.17,1020,Arts & Letters,No,No,
312,6,7,F,0,0,4.23,1310,Math & Science,Yes,No,
313,6,6,F,1,0,3.86,1330,Math & Science,No,No,
314,6,3,M,1,0,2.89,1200,Business & Economics,No,No,
315,7,7,M,1,0,3.15,1180,Math & Science,No,No,
316,5,6,F,1,0,3.70,1210,Arts & Letters,No,No,
317,6,6,M,1,0,3.96,1230,Math & Science,No,No,
318,1,2,F,0,0,3.94,660,Business & Economics,No,No,
319,6,7,M,1,0,3.29,1100,Math & Science,No,No,
320,1,1,M,0,1,3.83,1140,Math & Science,Yes,No,
321,3,6,F,0,1,4.00,1250,Math & Science,No,No,
322,6,4,F,0,0,3.71,1190,Business & Economics,No,No,
323,6,7,F,0,0,3.50,970,Business & Economics,No,No,
324,3,4,F,0,0,3.96,980,Arts & Letters,Yes,No,
325,7,6,F,1,0,3.35,1100,Arts & Letters,No,No,
326,1,1,M,0,0,3.57,1020,Business & Economics,Yes,No,
327,5,6,M,1,0,4.25,1350,Math & Science,Yes,Yes,3.159
328,7,4,M,1,0,3.62,1210,Business & Economics,No,No,
329,1,2,F,0,0,2.67,940,Math & Science,No,No,
330,4,6,M,1,0,3.00,1060,Math & Science,No,No,
331,3,4,F,1,0,3.57,1210,Arts & Letters,No,No,
332,7,7,F,1,0,3.20,1480,Arts & Letters,No,No,
333,6,6,F,1,0,4.29,1170,Arts & Letters,No,No,
334,3,3,M,0,0,2.54,980,Arts & Letters,No,No,
335,6,6,F,1,0,3.85,1280,Math & Science,Yes,No,
336,6,7,F,1,0,3.90,1070,Business & Economics,No,No,
337,5,3,M,1,0,4.14,1210,Math & Science,Yes,No,
338,4,4,M,1,0,3.50,1140,Business & Economics,No,No,
339,1,1,M,0,0,3.55,1170,Arts & Letters,No,No,
340,7,6,F,0,1,3.08,1150,Arts & Letters,No,No,
341,6,6,F,1,0,4.08,1300,Math & Science,No,No,
342,7,7,M,0,0,3.05,1160,Math & Science,No,No,
343,5,6,M,0,0,3.26,1040,Business & Economics,No,No,
344,5,4,M,1,0,4.00,1230,Business & Economics,No,No,
345,3,7,M,1,0,4.35,1310,Business & Economics,Yes,No,
346,5,5,M,0,0,4.00,1430,Math & Science,Yes,No,
347,1,1,M,0,0,3.73,1160,Math & Science,Yes,Yes,3.133
348,6,4,M,0,0,4.04,1350,Arts & Letters,No,No,
349,4,3,F,0,0,3.58,890,Math & Science,No,No,
350,6,6,M,1,0,3.86,1250,Arts & Letters,Yes,Yes,3.503
351,7,6,M,1,0,3.55,1210,Business & Economics,No,No,
352,4,4,M,0,0,2.86,1220,Math & Science,No,No,
353,7,7,M,0,0,4.12,1250,Arts & Letters,No,No,
354,3,3,M,1,0,3.27,1170,Math & Science,No,No,
355,6,6,M,1,0,3.46,1150,Arts & Letters,No,No,
356,1,1,F,0,0,4.00,940,Math & Science,Yes,No,
357,2,2,M,0,1,3.68,1030,Math & Science,Yes,Yes,2.479
358,3,4,M,0,1,3.59,1380,Math & Science,No,No,
359,2,2,F,0,1,4.29,1190,Math & Science,Yes,No,
360,7,7,M,1,0,4.33,1270,Math & Science,No,No,
361,6,6,M,1,0,3.92,1160,Arts & Letters,No,Yes,2.997
362,6,5,F,0,0,3.60,1160,Arts & Letters,No,No,
363,3,3,F,0,1,3.75,1110,Arts & Letters,No,No,
364,3,3,F,0,0,4.20,1070,Math & Science,Yes,No,
365,1,1,F,0,0,3.60,950,Arts & Letters,No,No,
366,4,7,F,1,0,3.80,1170,Arts & Letters,No,No,
367,3,3,M,0,0,3.54,1020,Arts & Letters,Yes,Yes,3.395
368,6,6,M,0,0,3.50,1140,Business & Economics,No,No,
369,7,6,F,0,0,3.64,1340,Arts & Letters,Yes,No,
370,7,5,F,0,0,3.05,1190,Business & Economics,No,No,
371,7,6,F,1,0,4.08,1430,Business & Economics,Yes,No,
372,7,6,M,1,0,3.94,1260,Business & Economics,Yes,Yes,3.100
373,5,4,M,0,0,3.85,1170,Arts & Letters,No,Yes,3.397
374,6,6,F,1,0,3.58,1170,Arts & Letters,No,No,
375,6,7,F,1,0,2.68,830,Math & Science,No,No,
376,6,6,M,1,0,3.90,1300,Math & Science,Yes,Yes,3.205
377,6,4,F,1,0,3.09,1090,Business & Economics,No,No,
378,7,7,M,1,0,4.33,1470,Math & Science,Yes,No,
379,6,7,M,1,0,3.59,1090,Arts & Letters,No,No,
380,6,3,M,1,0,3.80,1320,Math & Science,Yes,Yes,3.090
381,6,6,M,1,0,3.45,1040,Arts & Letters,No,No,
382,4,5,M,1,0,3.84,1390,Arts & Letters,No,Yes,3.338
383,6,6,F,1,0,4.08,1320,Business & Economics,Yes,No,
384,5,4,M,1,0,3.35,1320,Math & Science,No,No,
385,6,6,F,0,1,3.50,1160,Business & Economics,No,No,
386,4,4,F,1,0,3.00,1170,Math & Science,No,No,
387,6,6,M,0,1,3.20,1190,Math & Science,No,No,
388,3,3,M,0,0,3.79,1130,Math & Science,Yes,No,
389,6,7,F,0,0,3.53,1290,Math & Science,No,No,
390,6,6,F,1,0,3.80,1250,Business & Economics,No,No,
391,4,6,F,1,0,4.00,1110,Arts & Letters,No,No,
392,4,6,M,0,0,3.52,1160,Business & Economics,No,No,
393,3,5,M,0,0,3.91,1230,Math & Science,Yes,Yes,2.918
394,7,6,F,1,0,3.91,1200,Arts & Letters,No,No,
395,6,4,M,1,0,4.06,1540,Arts & Letters,Yes,No,
396,6,6,F,1,0,3.15,1220,Arts & Letters,No,No,
397,4,4,M,0,0,2.43,850,Math & Science,No,No,
398,6,7,M,1,0,3.55,1220,Arts & Letters,No,No,
399,1,1,F,0,0,3.89,1120,Math & Science,Yes,No,
400,1,7,M,0,0,3.92,1310,Business & Economics,Yes,No,
401,6,6,M,0,0,4.00,1170,Math & Science,Yes,No,
402,6,6,M,0,1,3.69,1240,Arts & Letters,No,No,
403,7,7,M,1,0,3.41,1110,Arts & Letters,No,No,
404,6,6,F,0,0,3.33,930,Business & Economics,No,No,
405,6,4,M,1,0,3.38,1250,Business & Economics,No,No,
406,6,6,M,0,1,3.50,1130,Math & Science,No,No,
407,7,7,M,1,0,4.25,1400,Math & Science,Yes,Yes,3.639
408,3,3,M,1,0,3.64,1290,Math & Science,Yes,Yes,3.431
409,6,4,M,0,0,2.95,1120,Business & Economics,No,No,
410,6,7,F,1,0,3.91,1350,Math & Science,No,No,
411,6,6,F,1,0,3.72,1190,Arts & Letters,No,No,
412,7,7,M,0,0,3.17,1230,Arts & Letters,No,No,
413,3,6,F,1,0,3.62,1260,Arts & Letters,No,No,
414,6,6,M,1,0,3.05,1280,Math & Science,No,No,
415,7,7,M,1,0,3.55,1250,Arts & Letters,No,No,
416,3,3,F,0,0,2.94,910,Arts & Letters,No,No,
417,6,7,M,1,0,3.85,1340,Math & Science,Yes,No,
418,7,7,M,1,0,3.43,950,Math & Science,No,No,
419,6,6,F,0,1,3.65,1190,Math & Science,No,No,
420,6,6,F,1,0,4.21,1190,Math & Science,Yes,No,
421,4,4,M,1,0,3.45,960,Math & Science,No,No,
422,7,6,M,0,0,3.95,1230,Business & Economics,Yes,Yes,3.465
423,7,7,M,1,0,4.10,1170,Business & Economics,Yes,No,
424,6,4,M,1,0,3.64,1150,Math & Science,No,No,
425,6,4,M,1,0,3.31,1430,Business & Economics,No,No,
426,4,4,F,0,1,3.36,1060,Business & Economics,No,No,
